Jeux,Mimicry,Ilinx,Agon,Alea,Ludus,Paidia,Mimilinx,Agal,Lupai,Groupe,JeuVideo,Semestre
Agitation,0,3,0,4,0,5,-3,-4,-5,Riflart,FALSE,A15
Agitation,1,3,0,3,0,5,-2,-3,-5,Cousin,FALSE,P16
Agitation,2,4,0,3,0,5,-2,-3,-5,Diaz,FALSE,P16
Agitation,0,3,0,3,0,5,-3,-3,-5,MT,FALSE,P16
Agitation,0,3,0,2,0,4,-3,-2,-4,Leroy,FALSE,P16
Agitation,0,5,2,4,0,5,-5,-2,-5,Roblot,FALSE,P16
Agitation,0,2,0,1,0,5,-2,-1,-5,Roquin,FALSE,P16
Alpinisme,1,5,3,3,2,0,-4,0,2,Sallez,FALSE,A15
Alpinisme,0,4,4,3,2,2,-4,1,0,Riflart,FALSE,A15
Alpinisme,0,5,4,3,1,3,-5,1,-2,Belbachir,FALSE,P17
Alpinisme,0,3,4,3,2,3,-3,1,-1,Capron,FALSE,P17
Alpinisme,0,4,3,2,2,2,-4,1,0,Dury,FALSE,P17
Alpinisme,0,5,5,4,3,3,-5,1,0,Ruffy,FALSE,P17
Alpinisme,1,4,4,3,1,3,-3,1,-2,Cousin,FALSE,P16
Alpinisme,1,4,3,2,1,0,-3,1,1,MT,FALSE,P16
Alpinisme,1,5,4,3,3,1,-4,1,2,Monserand,FALSE,P19
Alpinisme,1,4,5,4,3,2,-3,1,1,Schneider,FALSE,P19
Alpinisme,0,4,4,3,1,0,-4,1,1,A,FALSE,P19
Alpinisme,1,5,5,4,1,3,-4,1,-2,B,FALSE,P19
Alpinisme,1,4,4,3,2,1,-3,1,1,F,FALSE,P19
Alpinisme,0,4,5,3,2,2,-4,2,0,Boulmier,FALSE,A15
Alpinisme,0,5,5,3,2,2,-5,2,0,Barbier,FALSE,P17
Alpinisme,0,4,3,1,1,2,-4,2,-1,Jannin,FALSE,P17
Alpinisme,0,4,5,3,3,4,-4,2,-1,Diaz,FALSE,P16
Alpinisme,0,5,5,3,3,1,-5,2,2,D,FALSE,P19
Alpinisme,0,5,5,2,2,0,-5,3,2,Haberer,FALSE,A15
Alpinisme,1,4,5,2,2,3,-3,3,-1,Leroy,FALSE,P16
Alpinisme,0,5,5,2,2,1,-5,3,1,Roblot,FALSE,P16
Alpinisme,0,4,5,2,1,4,-4,3,-3,Roquin,FALSE,P16
Alpinisme,2,5,4,1,2,0,-3,3,2,C,FALSE,P19
Alpinisme,1,4,4,1,5,0,-3,3,5,E,FALSE,P19
ArtsDuSpectacle,4,1,2,2,1,3,3,0,-2,Haberer,FALSE,A15
Athlétisme,1,2,4,1,4,2,-1,3,2,Belbachir,FALSE,P17
Athlétisme,1,1,4,1,5,1,0,3,4,Cousin,FALSE,P16
Athlétisme,0,2,4,1,4,1,-2,3,3,Diaz,FALSE,P16
Athlétisme,0,2,5,2,5,0,-2,3,5,Roblot,FALSE,P16
Athlétisme,1,1,5,1,5,1,0,4,4,Bardwell,FALSE,A15
Athlétisme,2,4,5,1,5,1,-2,4,4,Milleret,FALSE,A15
Athlétisme,1,3,5,1,4,2,-2,4,2,Petit,FALSE,A15
Athlétisme,1,3,5,1,5,1,-2,4,4,Capron,FALSE,P17
Athlétisme,0,3,5,1,3,1,-3,4,2,Jannin,FALSE,P17
Athlétisme,1,3,5,1,5,1,-2,4,4,Ruffy,FALSE,P17
Athlétisme,1,1,5,1,5,0,0,4,5,Leroy,FALSE,P16
Athlétisme,1,1,5,1,5,1,0,4,4,MT,FALSE,P16
Athlétisme,0,3,5,0,5,1,-3,5,4,Haberer,FALSE,A15
